iter	Passed	Remaining
0	297	216132
1	453	164548
2	612	148122
3	774	140101
4	926	133926
5	1099	132300
6	1252	128979
7	1413	127202
8	1561	124770
9	1717	123336
10	1897	123712
11	2047	122165
12	2204	121226
13	2345	119606
14	2495	118642
15	2627	116934
16	2786	116536
17	2945	116183
18	3107	115975
19	3242	114779
20	3385	113978
21	3550	113924
22	3712	113793
23	3852	113020
24	3991	112241
25	4130	111516
26	4258	110550
27	4411	110286
28	4591	110668
29	4764	110856
30	4940	111091
31	5102	110969
32	5218	109905
33	5410	110444
34	5584	110582
35	5739	110335
36	5858	109405
37	6007	109084
38	6174	109081
39	6332	108922
40	6486	108689
41	6644	108529
42	6769	107846
43	6962	108235
44	7105	107842
45	7275	107867
46	7416	107463
47	7588	107509
48	7752	107421
49	7896	107076
50	8043	106767
51	8175	106278
52	8305	105771
53	8451	105486
54	8610	105362
55	8791	105493
56	8940	105250
57	9104	105169
58	9248	104864
59	9400	104655
60	9566	104606
61	9704	104247
62	9862	104109
63	10028	104049664	10197	104016665	10333	103650666	10505	103641667	10643	103302668	10791	103062669	10950	102938770	11134	103033771	11299	102947772	11429	102550773	11560	102166774	11672	10163275	11831	101498
76	11991	101386
77	12153	101282
78	12313	101155
79	12444	100802
80	12597	100627
81	12746	100416
82	12899	100245
83	13055	100090
84	13214	99960
85	13384	99915
86	13532	99705
87	13685	99532
88	13857	99492
89	13997	99224
90	14153	99076
91	14303	98877
92	14466	98776
93	14622	98625
94	14780	98486
95	14932	98302
96	15110	98296
97	15274	98191
98	15466	98269
99	15631	98165
100	15794	98048
101	15927	97749
102	16085	97609
103	16230	97384
104	16405	97340
105	16558	97164
106	16706	96957
107	16849	96730
108	16996	96520
109	17147	96336
110	17307	96205
111	17466	96066
112	17620	95901
113	17783	95778
114	17934	95601
115	18084	95412
116	18221	95155
117	18364	94936
118	18516	94761
119	18680	94646
120	18853	94578
121	19003	94395
122	19158	94236
123	19322	94121
124	19471	93932
125	19637	93821
126	19791	93659
127	19935	93449
128	20090	93290
129	20256	93181
130	20403	92983
131	20519	92649
132	20671	92477
133	20803	92219
134	20952	92037
135	21113	91904
136	21294	91860
137	21434	91640
138	21589	91482
139	21737	91295
140	21884	91108
141	22042	90965
142	22200	90822
143	22350	90644
144	22506	90491
145	22657	90319
146	22838	90267
147	22974	90036
148	23140	89921
149	23277	89694
150	23418	89487
151	23574	89333
152	23729	89181
153	23897	89070
154	24059	88941
155	24195	88715
156	24329	88485
157	24474	88293
158	24617	88097
159	24769	87932
160	24921	87765
161	25096	87683
162	25195	87332
163	25356	87202
164	25533	87123
165	25689	86972
166	25825	86755
167168	26067	862168169	26225	860169170	26376	859170171	26538	857171172	26701	856172173	26868	855173174	27010	853174175	27163	851175176	27314	850176177	27460	848177178	27620	847178179	27779	845179180	27916	843180181	28042	841181	28066	84200
182	28211	84016
183	28366	83864
184	28519	83708
185	28665	83531
186	28823	83386
187	28959	83181
188189	29205	826189	29251	82828
190	29408	82682
191	29571	82553
192	29717	82377
